œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
44;127;4;19;True;02.02.2016 13:50:54;;0;;
45;159;1;28;True;02.02.2016 13:50:54;;0;;
46;162;1;34;True;02.02.2016 13:50:54;;0;;
47;156;2;37;True;02.02.2016 13:50:54;;0;;
48;126;5;40;True;02.02.2016 13:50:54;;0;;
49;47;11;40;True;02.02.2016 13:50:55;;0;;
50;14;14;37;True;02.02.2016 13:50:55;;0;;
51;5;15;34;True;02.02.2016 13:50:55;;0;;
52;2;15;28;True;02.02.2016 13:50:55;;0;;
53;25;12;19;True;02.02.2016 13:50:55;;0;;
54;61;9;16;True;02.02.2016 13:50:56;;0;;
55;81;8;29;True;02.02.2016 13:50:56;;0;;
56;107;6;27;True;02.02.2016 13:50:56;;0;;
57;83;8;33;True;02.02.2016 13:50:56;;0;;
58;53;10;27;True;02.02.2016 13:50:56;;0;;
59;65;9;24;True;02.02.2016 13:50:57;;0;;
60;92;7;24;True;02.02.2016 13:50:57;;0;;
61;121;5;30;True;02.02.2016 13:50:57;;0;;
62;110;6;33;True;02.02.2016 13:50:57;;0;;
63;56;10;33;True;02.02.2016 13:50:57;;0;;
64;42;11;30;True;02.02.2016 13:50:57;;0;;
65;29;12;27;True;02.02.2016 13:50:58;;0;;
66;39;11;24;True;02.02.2016 13:50:58;;0;;
67;77;8;21;True;02.02.2016 13:50:58;;0;;
68;118;5;24;True;02.02.2016 13:50:58;;0;;
69;131;4;27;True;02.02.2016 13:50:58;;0;;
70;134;4;33;True;02.02.2016 13:50:59;;0;;
71;98;7;36;True;02.02.2016 13:50:59;;0;;
72;71;9;36;True;02.02.2016 13:50:59;;0;;
73;32;12;33;True;02.02.2016 13:50:59;;0;;
74;20;13;30;True;02.02.2016 13:50:59;;0;;
75;17;13;24;True;02.02.2016 13:51:00;;0;;
76;50;10;21;True;02.02.2016 13:51:00;;0;;
77;104;6;21;True;02.02.2016 13:51:00;;0;;
78;140;3;24;False;02.02.2016 13:51:05;;0;ÂÂÂ;
79;143;3;30;True;02.02.2016 13:51:10;;0;;
80;124;5;36;True;02.02.2016 13:51:10;;0;;
81;86;8;39;True;02.02.2016 13:51:10;;0;;
82;45;11;36;True;02.02.2016 13:51:11;;0;;
83;23;13;36;True;02.02.2016 13:51:11;;0;;
84;12;14;33;True;02.02.2016 13:51:11;;0;;
85;9;14;27;True;02.02.2016 13:51:11;;0;;
86;26;12;21;True;02.02.2016 13:51:11;;0;;
87;62;9;18;True;02.02.2016 13:51:11;;0;;
88;89;7;18;True;02.02.2016 13:51:12;;0;;
89;128;4;21;True;02.02.2016 13:51:12;;0;;
90;151;2;27;True;02.02.2016 13:51:12;;0;;
91;154;2;33;True;02.02.2016 13:51:12;;0;;
92;146;3;36;True;02.02.2016 13:51:12;;0;;
93;113;6;39;True;02.02.2016 13:51:13;;0;;
94;59;10;39;True;02.02.2016 13:51:13;;0;;
95;35;12;39;True;02.02.2016 13:51:13;;0;;
96;3;15;30;True;02.02.2016 13:51:13;;0;;
97;36;11;18;True;02.02.2016 13:51:13;;0;;
98;115;5;18;True;02.02.2016 13:51:14;;0;;
99;160;1;30;True;02.02.2016 13:51:14;;0;;
100;137;4;39;True;02.02.2016 13:51:14;;0;;
101;101;7;42;True;02.02.2016 13:51:14;;0;;
102;74;9;42;True;02.02.2016 13:51:14;;0;;
103;0;15;24;True;02.02.2016 13:51:14;;0;;
104;6;14;21;True;02.02.2016 13:51:15;;0;;
105;95;7;30;True;02.02.2016 13:51:15;;0;;
106;68;9;30;True;02.02.2016 13:51:15;;0;;
107;80;8;27;True;02.02.2016 13:51:15;;0;;
108;148;2;21;True;02.02.2016 13:51:15;;0;;
109;157;1;24;True;02.02.2016 13:51:16;;0;;
110;108;6;29;True;02.02.2016 13:51:16;;0;;
111;96;7;32;True;02.02.2016 13:51:16;;0;;
112;69;9;32;True;02.02.2016 13:51:16;;0;;
113;54;10;29;True;02.02.2016 13:51:16;;0;;
114;66;9;26;True;02.02.2016 13:51:17;;0;;
115;93;7;26;True;02.02.2016 13:51:17;;0;;
116;119;5;26;True;02.02.2016 13:51:17;;0;;
117;122;5;32;True;02.02.2016 13:51:17;;0;;
118;84;8;35;True;02.02.2016 13:51:22;;121;‚‡Ô‚;
119;43;11;32;True;02.02.2016 13:51:29;;33;‚Ô‚;
120;40;11;26;False;01.01.0001 0:00:00;;0;;
121;78;8;23;False;01.01.0001 0:00:00;;0;;
122;105;6;23;False;01.01.0001 0:00:00;;0;;
123;132;4;29;False;01.01.0001 0:00:00;;0;;
124;111;6;35;False;01.01.0001 0:00:00;;0;;
125;57;10;35;False;01.01.0001 0:00:00;;0;;
126;30;12;29;False;01.01.0001 0:00:00;;0;;
127;51;10;23;False;01.01.0001 0:00:00;;0;;
128;90;7;20;False;01.01.0001 0:00:00;;0;;
129;129;4;23;False;01.01.0001 0:00:00;;0;;
130;141;3;26;False;01.01.0001 0:00:00;;0;;
131;144;3;32;False;01.01.0001 0:00:00;;0;;
132;135;4;35;False;01.01.0001 0:00:00;;0;;
133;99;7;38;False;01.01.0001 0:00:00;;0;;
134;72;9;38;False;01.01.0001 0:00:00;;0;;
135;33;12;35;False;01.01.0001 0:00:00;;0;;
136;21;13;32;False;01.01.0001 0:00:00;;0;;
137;18;13;26;False;01.01.0001 0:00:00;;0;;
138;27;12;23;False;01.01.0001 0:00:00;;0;;
139;63;9;20;False;01.01.0001 0:00:00;;0;;
140;75;8;17;False;01.01.0001 0:00:00;;0;;
141;116;5;20;False;01.01.0001 0:00:00;;0;;
142;149;2;23;False;01.01.0001 0:00:00;;0;;
143;152;2;29;False;01.01.0001 0:00:00;;0;;
144;155;2;35;False;01.01.0001 0:00:00;;0;;
145;125;5;38;False;01.01.0001 0:00:00;;0;;
146;87;8;41;False;01.01.0001 0:00:00;;0;;
147;46;11;38;False;01.01.0001 0:00:00;;0;;
148;13;14;35;False;01.01.0001 0:00:00;;0;;
149;10;14;29;False;01.01.0001 0:00:00;;0;;
150;7;14;23;False;01.01.0001 0:00:00;;0;;
151;37;11;20;False;01.01.0001 0:00:00;;0;;
152;102;6;17;False;01.01.0001 0:00:00;;0;;
153;138;3;20;False;01.01.0001 0:00:00;;0;;
154;147;3;38;False;01.01.0001 0:00:00;;0;;
154;158;1;26;False;01.01.0001 0:00:00;;0;;
155;161;1;32;False;01.01.0001 0:00:00;;0;;
157;114;6;41;False;01.01.0001 0:00:00;;0;;
158;60;10;41;False;01.01.0001 0:00:00;;0;;
159;24;13;38;False;01.01.0001 0:00:00;;0;;
160;4;15;32;False;01.01.0001 0:00:00;;0;;
161;1;15;26;False;01.01.0001 0:00:00;;0;;
162;15;13;20;False;01.01.0001 0:00:00;;0;;
163;48;10;17;False;01.01.0001 0:00:00;;0;;
